 region_name, power_type, device_location, is_hub, covered_scope, site_priority, site_stage, access_issue, create_time, minutes_on_the_way, oil_machine_type, collocation_id, is_boundary, updated_by, address, area_id, site_name, air_conditioner_no, fm_office, site_id, lessor_name, longitude, integration_date, phase, site_addr, morphology, location_id, altitude, has_oil_machine, cluster_id, customer, latitude, lessor_phone, site_maintainer, is_vip, update_time, time_zone, genset_number, functional_location, dangerous_site, owner, oil_machine_number, latitude_number, access_type, created_by, site_type, contractor_id, hang_site_number, collocation_name, pln_id, longitude_number, has_room, fuel_tank_no, site_state, radius, life_cycle, description, projectid, acceptance_date, parent_site, transport_type, lessor_address, project_name, is_hw_operate, id, keycode, actual_model_id, active, change_time, vendor, fuel_tank_capacity, battery_bank, oil_machine_capacity, ups_qty, ups_capacity, site_infrastructure_type, owner_name, battery_type, owner_phone_number, site_admission_type, ups_brand, has_pln, has_ups, has_battery, pln_capacity, battery_capacity
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , f343d1fb-e165-11f0-90da-0255ac121938, , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , 25820a13-5b4b-11f1-8fdf-0255ac12109b, CMI_PAJANG, , b3f5645d-1797-11f1-b289-0255ac12100b, 33SKH_0068, ,	 110.75942, , , , , , , No, , , -7.56437, , , , , , , , , , , -7.56437, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.75942, , , , , , 18, , , , , , , , 01efa427-768b-11f1-ba00-0255ac1205bc, 33SKH_0068, , true,	 1785817519348, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_BASWOROTMR, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SKH_0081, ,	 110.79381, , , , , , , No, , , -7.59084, , , , , , , , , , , -7.59084, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.79381, , , , , , , , , , , , , , 01f0407d-768b-11f1-ba00-0255ac1205bc, 33SKH_0081, , true,	 1785731353116, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_GEMBONGAN, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SKH_0080, ,	 110.75265, , , , , , , No, , , -7.55792, , , , , , , , , , , -7.55792, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.75265, , , , , , , , , , , , , , 01f06794-768b-11f1-ba00-0255ac1205bc, 33SKH_0080, , true,	 1785731353122, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , f343d1fb-e165-11f0-90da-0255ac121938, , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , 25820a13-5b4b-11f1-8fdf-0255ac12109b, CMI_KARTOSURO, , b3f5645d-1797-11f1-b289-0255ac12100b, 33SKH_0079, ,	 110.73472, , , , , , , No, , , -7.54685, , , , , , , , , , , -7.54685, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.73472, , , , , , 14, , , , , , , , 01f0b5bb-768b-11f1-ba00-0255ac1205bc, 33SKH_0079, , true,	 1785817519175, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_JAJAR, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SKT_0090, ,	 110.78024, , , , , , , No, , , -7.5564, , , , , , , , , , , -7.5564, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.78024, , , , , , , , , , , , , , 01f0dccf-768b-11f1-ba00-0255ac1205bc, 33SKT_0090, , true,	 1785731353114, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_BAKI, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SKH_0114, ,	 110.78173, , , , , , , No, , , -7.61775, , , , , , , , , , , -7.61775, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.78173, , , , , , , , , , , , , , 01f0dcd1-768b-11f1-ba00-0255ac1205bc, 33SKH_0114, , true,	 1785731353118, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_PAMOTAN, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33RBG_0016, ,	 111.48882, , , , , , , No, , , -6.7666, , , , , , , , , , , -6.7666, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 111.48882, , , , , , , , , , , , , , 01f103eb-768b-11f1-ba00-0255ac1205bc, 33RBG_0016, , true,	 1785731353118, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_RANDUBLATUNG, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33BLA_0040, ,	 111.39236, , , , , , , No, , , -7.20248, , , , , , , , , , , -7.20248, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 111.39236, , , , , , , , , , , , , , 01f23c97-768b-11f1-ba00-0255ac1205bc, 33BLA_0040, , true,	 1785731353127, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , f343d1fb-e165-11f0-90da-0255ac121938, , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , 24f3d44b-5b4b-11f1-8fdf-0255ac12109b, CMI_RUKOGRANDCTY, , 58d9a589-2cb4-11f1-ab67-0255ac1208c4, 33PWD_0106, ,	 110.91495, , , , , , , No, , , -7.08679, , , , , , , , , , , -7.08679, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.91495, , , , , , 16, , , , , , , , 01f28ac0-768b-11f1-ba00-0255ac1205bc, 33PWD_0106, , true,	 1785817519473, e70a8cd9-e165-11f0-a9fb-0255ac121097, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_BANYUMAS, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33PWT_0116, ,	 109.296812, , , , , , , No, , , -7.515981, , , , , , , , , , , -7.515981, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 109.296812, , , , , , , , , , , , , , 01f2fffd-768b-11f1-ba00-0255ac1205bc, 33PWT_0116, , true,	 1785731353131, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_CILONGOK, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33PWT_0102, ,	 109.13541, , , , , , , No, , , -7.40188, , , , , , , , , , , -7.40188, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 109.13541, , , , , , , , , , , , , , 01f32717-768b-11f1-ba00-0255ac1205bc, 33PWT_0102, , true,	 1785731353130, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_SEDAYU_TULUNG, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33KLN_0123, ,	 110.577806, , , , , , , No, , , -7.6089, , , , , , , , , , , -7.6089, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.577806, , , , , , , , , , , , , , 01f34e30-768b-11f1-ba00-0255ac1205bc, 33KLN_0123, , true,	 1785731353133, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_SARANG, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33RBG_0017, ,	 111.66659, , , , , , , No, , , -6.73572, , , , , , , , , , , -6.73572, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 111.66659, , , , , , , , , , , , , , 01f37544-768b-11f1-ba00-0255ac1205bc, 33RBG_0017, , true,	 1785731353129, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_KRAJAN_JATINOM, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33KLN_0107, ,	 110.59263, , , , , , , No, , , -7.626, , , , , , , , , , , -7.626, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.59263, , , , , , , , , , , , , , 01f4119c-768b-11f1-ba00-0255ac1205bc, 33KLN_0107, , true,	 1785731353149, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_JL_PETE_SEKARAN_SMG, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SMG_0153, ,	 110.39745, , , , , , , No, , , -7.05645, , , , , , , , , , , -7.05645, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.39745, , , , , , , , , , , , , , 01f7e13c-768b-11f1-ba00-0255ac1205bc, 33SMG_0153, , true,	 1785731353151, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
